State,Case number,Vehicle count,People count IN,People count OUT,Day,Month,Year,Day of week,Hour,Minute
District of Columbia,110001,1,1,1,12,1,2021,3,23,22
District of Columbia,110002,2,4,0,21,1,2021,5,23,52
District of Columbia,110003,1,1,1,7,2,2021,1,20,2
District of Columbia,110004,1,1,1,3,2,2021,4,20,2
District of Columbia,110005,2,2,0,23,2,2021,3,18,9
District of Columbia,110006,1,1,1,1,3,2021,2,11,7
District of Columbia,110007,2,3,0,16,3,2021,3,23,10
District of Columbia,110008,1,1,1,1,3,2021,2,15,18
District of Columbia,110009,1,3,1,1,4,2021,5,15,15
District of Columbia,110010,1,1,1,3,4,2021,7,0,34
District of Columbia,110011,2,4,0,4,4,2021,1,1,27
District of Columbia,110012,4,6,1,9,4,2021,6,19,30
District of Columbia,110013,1,1,1,23,4,2021,6,22,20
District of Columbia,110014,1,1,2,24,4,2021,7,10,33
District of Columbia,110015,2,2,0,29,4,2021,5,18,5
District of Columbia,110016,2,4,0,14,5,2021,6,18,49
District of Columbia,110017,1,1,1,13,6,2021,1,3,14
District of Columbia,110018,2,3,0,18,6,2021,6,23,35
District of Columbia,110019,1,1,1,19,6,2021,7,2,42
District of Columbia,110020,3,9,0,24,6,2021,5,19,31
District of Columbia,110021,3,3,0,24,6,2021,5,23,20
District of Columbia,110022,5,5,0,3,7,2021,7,0,54
District of Columbia,110023,1,1,0,25,7,2021,1,4,50
District of Columbia,110024,1,1,1,28,7,2021,4,8,20
District of Columbia,110025,4,4,0,23,8,2021,2,15,7
District of Columbia,110026,2,3,0,28,8,2021,7,21,15
District of Columbia,110027,1,1,1,13,9,2021,2,18,50
District of Columbia,110028,2,3,0,3,9,2021,6,16,14
District of Columbia,110029,2,2,0,27,9,2021,2,20,0
District of Columbia,110030,1,1,1,17,10,2021,1,22,7
District of Columbia,110031,2,2,0,16,10,2021,7,10,30
District of Columbia,110032,1,1,1,9,10,2021,7,6,0
District of Columbia,110033,1,1,0,23,10,2021,7,14,17
District of Columbia,110034,1,1,0,24,10,2021,1,3,56
District of Columbia,110035,3,4,0,25,10,2021,2,12,9
District of Columbia,110036,1,1,1,13,11,2021,7,14,58
District of Columbia,110037,1,1,0,21,11,2021,1,22,55
District of Columbia,110038,1,1,1,29,11,2021,2,22,51
District of Columbia,110039,1,1,1,14,12,2021,3,17,20
District of Columbia,110040,1,2,1,20,12,2021,2,6,24
Maryland,240001,1,1,0,2,1,2021,7,17,0
Maryland,240002,1,1,0,1,1,2021,6,21,46
Maryland,240003,1,1,0,4,1,2021,2,5,19
Maryland,240005,1,4,1,10,1,2021,1,22,8
Maryland,240006,2,2,1,12,1,2021,3,23,9
Maryland,240008,2,2,0,18,1,2021,2,20,0
Maryland,240009,4,4,0,19,1,2021,3,14,46
Maryland,240010,1,1,0,16,1,2021,7,4,0
Maryland,240011,2,3,0,17,1,2021,1,16,52
Maryland,240012,1,1,0,19,1,2021,3,14,47
Maryland,240013,2,3,0,17,1,2021,1,21,47
Maryland,240014,1,1,0,8,1,2021,6,21,48
Maryland,240015,1,1,1,6,1,2021,4,4,25
Maryland,240017,1,1,0,25,1,2021,2,18,15
Maryland,240018,2,2,0,27,1,2021,4,18,18
Maryland,240019,1,1,1,24,1,2021,1,18,42
Maryland,240020,2,7,0,27,1,2021,4,16,50
Maryland,240021,2,2,0,26,1,2021,3,6,21
Maryland,240022,1,1,1,15,1,2021,6,20,16
Maryland,240023,1,1,1,20,1,2021,4,23,19
Maryland,240024,1,3,0,1,2,2021,2,12,10
Maryland,240025,3,3,0,1,2,2021,2,16,18
Maryland,240026,1,2,0,9,2,2021,3,22,45
Maryland,240027,2,2,0,8,2,2021,2,23,53
Maryland,240028,1,1,1,10,1,2021,1,17,45
Maryland,240029,6,8,0,11,1,2021,2,14,47
Maryland,240030,4,2,3,26,1,2021,3,5,16
Maryland,240031,1,1,1,5,2,2021,6,2,10
Maryland,240032,1,1,0,5,2,2021,6,17,58
Maryland,240033,1,1,0,11,2,2021,5,7,33
Maryland,240034,1,1,1,11,1,2021,2,20,14
Maryland,240035,2,3,0,21,2,2021,1,18,44
Maryland,240036,1,2,1,23,1,2021,7,16,14
Maryland,240037,1,1,1,24,2,2021,4,12,45
Maryland,240038,2,2,0,23,2,2021,3,16,41
Maryland,240039,1,1,0,21,2,2021,1,5,33
Maryland,240040,2,2,0,21,2,2021,1,4,47
Maryland,240041,2,2,0,25,2,2021,5,18,31
Maryland,240042,2,3,0,3,3,2021,4,16,27
Maryland,240043,1,2,1,28,2,2021,1,19,29
Maryland,240044,1,1,0,4,3,2021,5,11,31
Maryland,240045,1,1,0,6,3,2021,7,17,14
Maryland,240046,1,1,1,4,3,2021,5,20,39
Maryland,240047,1,1,1,6,2,2021,7,18,59
Maryland,240048,3,6,0,5,3,2021,6,19,2
Maryland,240049,2,2,0,28,2,2021,1,2,33
Maryland,240050,2,2,0,8,3,2021,2,18,22
Maryland,240051,1,2,0,9,3,2021,3,21,49
Maryland,240052,1,1,0,8,3,2021,2,3,36
Maryland,240053,1,1,1,11,3,2021,5,21,8
Maryland,240054,1,2,1,12,3,2021,6,21,31
Maryland,240055,2,2,0,12,3,2021,6,21,7
Maryland,240056,1,1,1,11,3,2021,5,14,10
Maryland,240057,1,1,1,11,3,2021,5,16,3
Maryland,240058,2,2,1,15,3,2021,2,9,28
Maryland,240059,1,1,1,13,3,2021,7,7,37
Maryland,240060,1,1,0,20,3,2021,7,0,47
Maryland,240061,2,2,0,23,3,2021,3,14,55
Maryland,240062,1,3,0,20,3,2021,7,15,15
Maryland,240063,1,1,0,15,3,2021,2,14,47
